[11/28 14:42:31.102]           	file opened
[11/28 14:42:31.423]           TCP server listening on 0.0.0.0; ports 2025 (com) and 2026 (data, optional)
[11/28 14:43:41.014]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"Tcp communications connection from ::ffff:127.0.0.1"}
[11/28 14:43:41.014]           Tcp communications connection from ::ffff:127.0.0.1
[11/28 14:43:41.016]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"Connected to holo_software. holo_dll is v1.2-837-g95c4ba6, cudaholo is v1.2-754-gc2527d1, holo_gui_elements is v1.2-353-g40d0dcc, holo_software.exe is v1.2-424-g0e97640"}
[11/28 14:43:41.017]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"Tcp data connection from ::ffff:127.0.0.1"}
[11/28 14:43:41.017]           Tcp data connection from ::ffff:127.0.0.1
[11/28 14:43:41.017]           [ send ]{"sender_for_command":1,"sender_for_start":2,"tcp_server_to_client_command":4}
[11/28 14:44:05.026]           [receive]{"tcp_client_to_server_command": 1, "function_id": 100, "output mode": 40, "buffers_to_return": [{"processing step": 40, "laser nr": 0, "img nr": 0, "is amp": false, "measurement_id": 0}, {"processing step": 40, "laser nr": 0, "img nr": 0, "is amp": true, "measurement_id": 0}], "height_conversion_settings": {"convert_to_height_unit": 3, "do_transpose": false, "revert_untilt": false, "rotation_type": 0}, "holography_settings": {"set_dark_image": false}}
[11/28 14:44:05.029]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"object data merged (GUI + TCP)"}
[11/28 14:44:05.029]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"****************\nTcpServer got measurement request from TCP, id: -1"}
[11/28 14:44:05.029]           ****************
TcpServer got measurement request from TCP, id: -1
[11/28 14:44:05.035]           [ send ]{"level":207,"tcp_server_to_client_command":2,"text":"Starting measurement with buffer B"}
[11/28 14:44:05.035]           [ send ]{"level":204,"tcp_server_to_client_command":2,"text":"Camera: FileCamera got new path D:\\Messungen\\2023-11-15_cybertec-Spiegel+Dunkel\\231115\\Flat\\mirror_2023-11-15_12_32_20.391_raw.tiff"}
[11/28 14:44:05.043]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"TcpServer sending function ready: 90, id: -1"}
[11/28 14:44:05.043]           TcpServer sending function ready: 90, id: -1
[11/28 14:44:05.044]           [ send ]{"error_code":0,"function_id":90,"object_data":{},"optional_int":0,"tcp_server_to_client_command":1}
[11/28 14:44:05.13]           [ send ]{"level":207,"tcp_server_to_client_command":2,"text":"A HoloRequest (cam_buffer B) is starting on GPU 1"}
[11/28 14:44:05.254]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"TcpServer sending function ready: 105, id: -1"}
[11/28 14:44:05.255]           TcpServer sending function ready: 105, id: -1
[11/28 14:44:05.256]           [ send ]{"error_code":0,"function_id":105,"object_data":{},"optional_int":14,"tcp_server_to_client_command":1}
[11/28 14:44:05.256]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"TcpServer sending function ready: 101, id: -1"}
[11/28 14:44:05.256]           TcpServer sending function ready: 101, id: -1
[11/28 14:44:05.256]           [ send ]{"error_code":0,"function_id":101,"object_data":{},"optional_int":0,"tcp_server_to_client_command":1}
[11/28 14:44:06.135]           [ send ]{"level":207,"tcp_server_to_client_command":2,"text":"A HoloRequest (cam_buffer B) was processed on GPU 1"}
